subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"31473002","31473.x4","N-0","N,TOT","CS","Spectrum average Cross section for natN(n,Total)","1.0349999999999999e-10","1.0349999999999999e-10","1"," ","N.T.Kashukreev,G.A.Stanev,V.T.Surdjiisky,E.N.Stoyanova","1977","Report other than progress report: INDC(BUL)-4  (1977)"
"31555003","31555.x4","N-0","N,G","CS","Partial cross section for natN(n,gamma)","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","Zs.Revay,T.Belgya,G.L.Molnar","2005","J.of Radioanalytical and Nuclear Chemistry 265,169 (2005)"
"31555003","31555.x4","N-0","N,G","CS","Partial cross section for natN(n,gamma)","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","Zs.Revay,T.Belgya,G.L.Molnar","2005","J.of Radioanalytical and Nuclear Chemistry 265,169 (2005)"
"31558007","31558.x4","N-0","N,G","CS","Partial cross section for natN(n,gamma)","2.5299999999999998e-08","2.5299999999999998e-08","2"," ","Zs.Revay,G.L.Molnar","2003","Radiochimica Acta 91,361 (2003); J.of Radioanalytical and Nuclear Chemistry 244,383 (2000)"
"31558007","31558.x4","N-0","N,G","CS","Partial cross section for natN(n,gamma)","2.5299999999999998e-08","2.5299999999999998e-08","2"," ","Zs.Revay,G.L.Molnar","2003","Radiochimica Acta 91,361 (2003); J.of Radioanalytical and Nuclear Chemistry 244,383 (2000)"
"32239003","32239.x4","N-0","N,NON","CS","Cross section for natN(n,Nonelastic)","14.0","14.0","1"," ","V.I.Strizhak,A.P.Yaremik,V.V.Kravtsov","1958","Ukrainskii Fizichnii Zhurnal 3,190 (1958)"
"40369005","40369.x4","N-0","N,NON","CS","Cross section for natN(n,Nonelastic)","14.5","14.5","1"," ","N.N.Flerov,V.M.Talyzin","1956","Soviet Atomic Energy 1,617 (1956); Atomnaya Energiya 1,(4),155 (1956)"
"40793003","40793.x4","N-0","N,EL","DA","Differential c/s with respect to angle for natN(n,Elastic)natN","14.0","14.0","13"," ","V.I.Strizhak,V.V.Bobyr',L.Ja.Grona","1961","Zhurnal Eksperimental'noi i Teoret. Fiziki 41,(2),313 (1961); Soviet Physics - JETP 14,225 (1962)"
"V1001031","V1001.x4","N-0","N,EL","CS","Cross section for natN(n,Absorption)","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001031","V1001.x4","N-0","N,EL","CS","Cross section for natN(n,Elastic)natN","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001031","V1001.x4","N-0","N,EL","CS","Cross section for natN(n,gamma)","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001031","V1001.x4","N-0","N,G","CS","Cross section for natN(n,Absorption)","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001031","V1001.x4","N-0","N,G","CS","Cross section for natN(n,Absorption)","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001031","V1001.x4","N-0","N,G","CS","Cross section for natN(n,Elastic)natN","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001031","V1001.x4","N-0","N,G","CS","Cross section for natN(n,Elastic)natN","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001031","V1001.x4","N-0","N,G","CS","Cross section for natN(n,gamma)","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001031","V1001.x4","N-0","N,G","CS","Cross section for natN(n,gamma)","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
