subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"31161014","31161.x4","Na-23","N,P","CS","Cross section for 23Na(n,p)23Ne","14.8","14.8","1"," ","S.K.Mukherjee,A.K.Ganguly,N.K.Majumder","1961","Proceedings of the Physical Society (London),77,508 (1961)"
"31161015","31161.x4","Na-23","N,A","CS","Cross section for 23Na(n,alpha)20F","14.8","14.8","1"," ","S.K.Mukherjee,A.K.Ganguly,N.K.Majumder","1961","Proceedings of the Physical Society (London),77,508 (1961)"
"31316002","31316.x4","Na-23","N,P","CS","Cross section for 23Na(n,p)23Ne","14.8","14.8","1"," ","C.S.Khurana,I.M.Govil","1965","Nuclear Physics 69,153 (1965)"
"31465002","31465.x4","Na-23","N,INL","CS","Partial gamma-production cross section for 23Na(n,Inelastic)23Na","14.6","14.6","2"," ","S.Hlavac,M.Benovic,E.Betak,L.Dostal,I.Turzo,S.P.Simakov","1999","Report other than progress report: INDC(NDS)-412 12 (1999); Report other than progress report: INDC(NDS)-357 23 (1996)"
"31465003","31465.x4","Na-23","N,A","CS","Partial gamma-production cross section for 23Na(n,alpha)20F","14.6","14.6","2"," ","S.Hlavac,M.Benovic,E.Betak,L.Dostal,I.Turzo,S.P.Simakov","1999","Report other than progress report: INDC(NDS)-412 12 (1999); Report other than progress report: INDC(NDS)-357 23 (1996)"
"31465004","31465.x4","Na-23","N,D","CS","(( Partial gamma-production cross section for 23Na(n,n+p)22Ne )+( Partial gamma-production cross section for 23Na(n,d)22Ne ))","14.6","14.6","1"," ","S.Hlavac,M.Benovic,E.Betak,L.Dostal,I.Turzo,S.P.Simakov","1999","Report other than progress report: INDC(NDS)-412 12 (1999); Report other than progress report: INDC(NDS)-357 23 (1996)"
"31472002","31472.x4","Na-23","N,G","CS","(( Maxwellian average Cross section for 127I(n,gamma)128I )/( Maxwellian average Cross section for 23Na(n,gamma)24Na ))","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","E.T.Jozefowicz","1963","Nukleonika 8,437 (1963)"
"31472002","31472.x4","Na-23","N,G","CS","(( Maxwellian average Cross section for 127I(n,gamma)128I )/( Maxwellian average Cross section for 23Na(n,gamma)24Na ))","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","E.T.Jozefowicz","1963","Nukleonika 8,437 (1963)"
"31472002","31472.x4","Na-23","N,G","CS","Maxwellian average Cross section for 127I(n,gamma)128I","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","E.T.Jozefowicz","1963","Nukleonika 8,437 (1963)"
"31472002","31472.x4","Na-23","N,G","CS","Maxwellian average Cross section for 127I(n,gamma)128I","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","E.T.Jozefowicz","1963","Nukleonika 8,437 (1963)"
