subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"20872005","20872.x4","Be-9","N,EL","DA","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","3.26","15.4","39"," ","M.Baba,T.Sakase,T.Nishitani,T.Yamada,T.Momota","1978","Int.Conf.on Neutr.Phys.and Nucl.Data,Harwell 1978 ,198 (1978); Private communication: Baba  (1979); Report other than progress report: NETU-27 17 (1979)"
"20877002","20877.x4","Be-9","N,T","DA","Partial differential cross section d/dA for 9Be(n,t)7Li","13.99","13.99","8"," ","J.P.Perroud,Ch.Sellem","1974","Nuclear Physics,Section A 227,330 (1974); Progress report: EANDC(OR)-112L  (1971); Progress report: EANDC(OR)-133L  (1973); Thesis or dissertation: Perroud  (1973)"
"20877003","20877.x4","Be-9","N,T","DA","Partial differential cross section d/dA for 9Be(n,t)7Li","13.99","13.99","7"," ","J.P.Perroud,Ch.Sellem","1974","Nuclear Physics,Section A 227,330 (1974); Progress report: EANDC(OR)-112L  (1971); Progress report: EANDC(OR)-133L  (1973); Thesis or dissertation: Perroud  (1973)"
"20877004","20877.x4","Be-9","N,T","CS","Partial cross section for 9Be(n,t)7Li","13.99","13.99","1"," ","J.P.Perroud,Ch.Sellem","1974","Nuclear Physics,Section A 227,330 (1974); Progress report: EANDC(OR)-112L  (1971); Progress report: EANDC(OR)-133L  (1973); Thesis or dissertation: Perroud  (1973)"
"20877005","20877.x4","Be-9","N,T","CS","Partial cross section for 9Be(n,t)7Li","13.99","13.99","1"," ","J.P.Perroud,Ch.Sellem","1974","Nuclear Physics,Section A 227,330 (1974); Progress report: EANDC(OR)-112L  (1971); Progress report: EANDC(OR)-133L  (1973); Thesis or dissertation: Perroud  (1973)"
"20877006","20877.x4","Be-9","N,A","CS","Partial cross section for 9Be(n,alpha)6He","13.99","13.99","1"," ","J.P.Perroud,Ch.Sellem","1974","Nuclear Physics,Section A 227,330 (1974); Progress report: EANDC(OR)-112L  (1971); Progress report: EANDC(OR)-133L  (1973); Thesis or dissertation: Perroud  (1973)"
"20877007","20877.x4","Be-9","N,A","DA","Partial differential cross section d/dA for 9Be(n,alpha)6He","13.99","13.99","22"," ","J.P.Perroud,Ch.Sellem","1974","Nuclear Physics,Section A 227,330 (1974); Progress report: EANDC(OR)-112L  (1971); Progress report: EANDC(OR)-133L  (1973); Thesis or dissertation: Perroud  (1973)"
"20877008","20877.x4","Be-9","N,A","DA","Partial differential cross section d/dA for 9Be(n,alpha)6He","13.99","13.99","12"," ","J.P.Perroud,Ch.Sellem","1974","Nuclear Physics,Section A 227,330 (1974); Progress report: EANDC(OR)-112L  (1971); Progress report: EANDC(OR)-133L  (1973); Thesis or dissertation: Perroud  (1973)"
"20877009","20877.x4","Be-9","N,A","CS","Partial cross section for 9Be(n,alpha)6He","13.99","13.99","1"," ","J.P.Perroud,Ch.Sellem","1974","Nuclear Physics,Section A 227,330 (1974); Progress report: EANDC(OR)-112L  (1971); Progress report: EANDC(OR)-133L  (1973); Thesis or dissertation: Perroud  (1973)"
"20952002","20952.x4","Be-9","N,T","DA","Partial diff. gamma em. cross section d/dA for 9Be(n,t)7Li","13.0","15.0","6"," ","Y.Hino,S.Itagaki,T.Yamamoto,K.Sugiyama","1979","Report other than progress report: NETU-34  (1979)"
"21175002","21175.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","0.187","0.212","11"," ","A.Perrin,G.Surget,C.Thibault,F.Verriere","1962","Comptes Rendus,Serie B,Physique 255,277 (1962)"
"21175003","21175.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","0.1645","0.235","14"," ","A.Perrin,G.Surget,C.Thibault,F.Verriere","1962","Comptes Rendus,Serie B,Physique 255,277 (1962)"
"21177010","21177.x4","Be-9","N,EL","DA","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","14.1","14.1","18"," ","F.Merchez,V.Regis,Nguyen Van Sen,R.Darves-Blanc,Pham Dinh Lien,R.Bouchez","1966","Nuclear Data For Reactors Conf.,Paris 1966 1,393 (1966); Journal de Physique - Colloque 27,(C1),C1-61 (1966); Journal de Physique - Colloque 27,(C1),C1-84 (1966); Comptes Rendus,Serie B,Physique 260,3922 (1965); Progress report: EANDC(E)-89U 234 (1968)"
